Wavelength,Absorbance
1203.351,0.723
1201.422,0.714
1199.494,0.705
1197.565,0.696
1195.637,0.690
1193.708,0.689
1191.780,0.693
1189.852,0.702
1187.923,0.715
1185.995,0.730
1184.066,0.748
1182.138,0.766
1180.209,0.786
1178.281,0.805
1176.352,0.825
1174.424,0.844
1172.495,0.862
1170.567,0.878
1168.639,0.892
1166.710,0.902
1164.782,0.906
1162.853,0.905
1160.925,0.898
1158.996,0.886
1157.068,0.872
1155.140,0.858
1153.211,0.847
1151.283,0.841
1149.354,0.842
1147.426,0.850
1145.497,0.864
1143.569,0.880
1141.640,0.896
1139.712,0.909
1137.783,0.914
1135.855,0.911
1133.927,0.898
1131.998,0.876
1130.070,0.845
1128.141,0.806
1126.213,0.762
1124.284,0.715
1122.356,0.665
1120.427,0.617
1118.499,0.571
1116.571,0.530
1114.642,0.493
1112.714,0.461
1110.785,0.433
1108.857,0.407
1106.928,0.382
1105.000,0.359
1103.071,0.339
1101.143,0.323
1099.215,0.313
1097.286,0.313
1095.358,0.322
1093.429,0.344
1091.501,0.380
1089.572,0.429
1087.644,0.491
1085.715,0.559
1083.787,0.627
1081.859,0.689
1079.930,0.737
1078.002,0.767
1076.073,0.780
1074.145,0.779
1072.216,0.768
1070.288,0.754
1068.359,0.739
1066.431,0.725
1064.503,0.712
1062.574,0.698
1060.646,0.682
1058.717,0.664
1056.789,0.643
1054.860,0.621
1052.932,0.599
1051.003,0.578
1049.075,0.559
1047.146,0.543
1045.218,0.528
1043.290,0.517
1041.361,0.507
1039.433,0.498
1037.504,0.490
1035.576,0.481
1033.647,0.468
1031.719,0.452
1029.791,0.435
1027.862,0.420
1025.934,0.411
1024.005,0.408
1022.077,0.409
1020.148,0.409
1018.220,0.407
1016.291,0.400
